X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
97,11,0,0,1,11,29,Pullup Jump shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-68,50,0,0,1,9,29,Fadeaway Jump Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-32,-5,0,0,1,6,1,Jump Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
56,12,0,0,1,3,40,Driving Jump shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
59,45,0,0,1,3,18,Driving Jump shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
-7,-3,1,0,2,3,36,Alley Oop Dunk Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
140,-13,1,0,2,2,0,Jump Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
-70,127,1,0,3,11,49,Turnaround Jump Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
124,4,1,0,3,10,16,Floating Jump shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-204,77,1,0,3,6,12,Jump Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-10,41,0,0,3,4,4,Driving Jump shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
-7,3,0,0,3,2,38,Driving Layup Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
201,7,0,0,4,2,55,Jump Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
7,-3,0,0,4,0,44,Driving Layup Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-3,171,1,0,1,11,22,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-231,-19,1,1,1,10,29,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-151,114,0,0,1,9,47,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,test
-6,160,0,0,1,7,55,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,test
-242,12,0,1,1,6,55,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
11,7,1,0,1,3,24,Driving Layup Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-160,67,1,0,2,4,48,Turnaround Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-143,135,0,0,2,1,15,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
127,127,1,0,2,0,48,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-31,45,0,0,3,11,48,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
22,3,1,0,3,9,58,Layup Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
200,-21,1,0,3,5,24,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-19,7,1,0,4,3,7,Layup Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
12,69,0,0,1,11,42,Driving Hook Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-202,31,1,0,1,8,50,Pullup Jump shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
0,19,1,0,1,6,36,Driving Finger Roll Layup Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
157,11,1,0,1,6,3,Step Back Jump shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-136,6,1,0,1,2,31,Turnaround Fadeaway shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
18,1,1,0,2,2,24,Driving Layup Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
24,0,0,0,2,1,50,Driving Reverse Layup Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
203,3,0,0,2,1,42,Jump Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,test
36,56,0,0,3,11,24,Driving Hook Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-217,118,1,1,3,8,1,Jump Shot,3PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,test
0,19,1,0,3,7,23,Alley Oop Layup shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-160,192,0,1,3,6,8,Jump Shot,3PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
122,153,0,0,3,1,47,Jump Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
40,20,1,0,4,4,57,Driving Jump shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
1,50,1,0,1,9,22,Floating Jump shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-5,-3,0,0,1,7,53,Driving Layup Shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-15,15,0,0,1,4,15,Driving Layup Shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-172,173,0,1,1,0,43,Jump Shot,3PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-2,6,1,0,2,5,2,Layup Shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-134,134,0,0,2,4,30,Jump Shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-11,23,0,0,3,11,25,Driving Layup Shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
147,187,0,1,3,9,31,Jump Shot,3PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-100,-3,0,0,3,4,10,Jump Shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
36,4,0,0,3,3,16,Driving Jump shot,2PT Field Goal,OKC,TOR,Toronto Raptors,20121106,Regular Season,train
-158,7,1,0,1,11,25,Jump Shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
234,0,0,1,1,10,43,Jump Shot,3PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
73,50,0,0,1,7,37,Jump Shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
-100,15,1,0,2,3,30,Fadeaway Jump Shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
-108,88,0,0,2,1,58,Turnaround Fadeaway shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
12,-3,1,0,3,10,20,Dunk Shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
-26,44,0,0,3,9,12,Driving Jump shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
179,28,1,0,3,8,9,Jump Shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,test
-226,0,0,1,3,7,40,Jump Shot,3PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
138,14,0,0,3,5,7,Floating Jump shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
61,15,1,0,3,2,42,Driving Bank shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,test
228,9,0,1,3,0,56,Jump Shot,3PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,test
-134,11,1,0,4,8,13,Turnaround Fadeaway shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,test
-103,63,1,0,4,6,39,Turnaround Fadeaway shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
-155,69,0,0,4,5,37,Turnaround Fadeaway shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
138,-17,0,0,4,2,9,Jump Shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,test
56,112,1,0,4,0,31,Floating Jump shot,2PT Field Goal,DAL,TOR,Toronto Raptors,20121107,Regular Season,train
-128,66,1,0,1,9,54,Jump Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-8,3,1,0,1,8,31,Reverse Slam Dunk Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
4,48,1,0,1,3,48,Turnaround Fadeaway shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
91,156,0,0,1,2,52,Pullup Jump shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-5,83,0,0,2,7,50,Jump Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,test
-101,140,0,0,2,5,56,Jump Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-149,3,0,0,2,2,24,Jump Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,test
-199,4,0,0,3,2,56,Turnaround Jump Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-175,176,1,1,3,1,23,Jump Shot,3PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,test
159,50,0,0,4,10,43,Pullup Jump shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
88,138,0,0,4,10,8,Pullup Jump shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-133,56,0,0,4,8,1,Jump Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
17,12,1,0,4,7,29,Driving Finger Roll Layup Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-155,116,0,0,4,6,51,Jump Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-19,11,0,0,4,4,35,Layup Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,test
-32,14,0,0,4,3,46,Running Layup Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
1,17,1,0,4,1,32,Putback Dunk Shot,2PT Field Goal,TOR,PHI,Toronto Raptors,20121110,Regular Season,train
-223,-3,1,1,1,6,11,Jump Shot,3PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-149,3,1,0,1,5,8,Turnaround Fadeaway shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-111,217,0,1,1,0,1,Jump Shot,3PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-65,77,0,0,2,11,28,Turnaround Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-29,19,1,0,2,9,57,Driving Bank shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-4,9,1,0,2,2,43,Alley Oop Dunk Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
-90,25,0,0,2,2,5,Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-51,31,0,0,2,0,30,Turnaround Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
54,17,1,0,3,9,31,Jump Hook Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
0,14,1,0,3,7,55,Running Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-60,63,0,0,3,5,34,Driving Hook Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
0,17,1,0,3,5,32,Finger Roll Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
2,15,1,0,3,2,29,Driving Finger Roll Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
-138,0,1,0,3,1,10,Turnaround Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-125,41,1,0,3,0,20,Turnaround Fadeaway shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-13,197,0,0,4,11,42,Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
23,3,0,0,4,9,3,Driving Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
-10,11,0,0,4,8,34,Driving Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
0,7,1,0,4,8,10,Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-157,1,1,0,4,4,3,Turnaround Fadeaway shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-2,25,0,0,4,0,16,Driving Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
231,9,0,1,5,4,6,Jump Shot,3PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
28,22,1,0,5,3,3,Driving Bank shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
4,15,1,0,5,0,23,Driving Slam Dunk Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
129,67,0,0,5,0,0,Turnaround Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
15,7,0,0,6,4,1,Driving Layup Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-34,206,0,0,6,2,46,Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
-29,15,1,0,6,1,47,Driving Bank shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
-8,61,1,0,7,4,23,Fadeaway Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
138,205,0,1,7,3,51,Jump Bank Shot,3PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
9,64,0,0,7,1,57,Turnaround Jump Shot,2PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-232,12,0,1,7,0,53,Jump Shot,3PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,train
-56,246,0,1,7,0,21,Jump Shot,3PT Field Goal,TOR,UTA,Toronto Raptors,20121112,Regular Season,test
6,170,1,0,1,6,37,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
-19,17,1,0,1,6,5,Turnaround Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
166,127,0,0,1,4,58,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
13,12,1,0,1,3,34,Alley Oop Layup shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,test
116,121,1,0,1,0,25,Fadeaway Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
77,11,0,0,2,5,14,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,test
70,42,1,0,2,1,20,Jump Bank Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
-136,48,0,0,2,0,39,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
9,190,0,0,2,0,10,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
-8,14,0,0,3,5,12,Layup Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
-97,45,0,0,3,3,15,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
170,-5,0,0,3,1,46,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
-158,0,0,0,4,1,11,Jump Shot,2PT Field Goal,IND,TOR,Toronto Raptors,20121113,Regular Season,train
-172,-11,0,0,1,9,52,Step Back Jump shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,train
94,162,1,0,1,8,16,Jump Shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,train
116,44,0,0,1,8,3,Jump Shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,test
23,14,1,0,1,7,7,Driving Layup Shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,train
80,110,0,0,1,6,7,Jump Shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,train
64,119,0,0,2,1,9,Turnaround Jump Shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,train
9,4,1,0,2,0,37,Layup Shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,test
226,47,0,1,2,0,0,Jump Shot,3PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,test
0,12,1,0,3,9,7,Driving Finger Roll Layup Shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,train
2,1,1,0,3,6,38,Alley Oop Layup shot,2PT Field Goal,BOS,TOR,Toronto Raptors,20121117,Regular Season,train
-116,132,1,0,1,10,26,Fadeaway Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
163,66,0,0,1,9,58,Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
2,149,1,0,1,4,48,Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,test
-228,11,1,1,1,4,18,Jump Shot,3PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
-202,9,0,0,1,2,36,Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
17,6,1,0,1,1,48,Driving Finger Roll Layup Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,test
34,179,1,0,1,1,7,Fadeaway Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,test
-199,37,0,0,2,2,21,Turnaround Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
31,36,1,0,2,1,46,Driving Bank shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
226,14,0,1,2,0,29,Jump Shot,3PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
48,61,0,0,3,11,40,Driving Hook Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
-172,99,1,0,3,3,42,Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
-98,176,0,0,3,3,13,Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
125,159,0,0,3,1,33,Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
13,9,1,0,4,3,59,Alley Oop Dunk Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
17,61,0,0,4,3,30,Jump Shot,2PT Field Goal,TOR,ORL,Toronto Raptors,20121118,Regular Season,train
106,33,0,0,1,11,28,Jump Bank Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
1,1,1,0,1,8,57,Alley Oop Dunk Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
-109,145,0,0,1,4,44,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
-5,105,0,0,1,3,14,Turnaround Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
-128,60,0,0,2,11,40,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
-108,-25,1,0,2,10,24,Fadeaway Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,test
-30,-10,0,0,2,1,41,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
-54,1,0,0,3,10,59,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
6,20,1,0,3,10,3,Driving Layup Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
-161,26,1,0,3,8,13,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
48,0,0,0,3,6,12,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
75,121,0,0,3,4,45,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
0,28,1,0,3,3,53,Layup Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
4,28,1,0,4,9,49,Floating Jump shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
103,110,1,0,4,8,47,Fadeaway Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,test
23,12,0,0,4,7,2,Layup Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,test
187,167,1,1,4,5,29,Jump Shot,3PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,test
6,151,0,0,4,3,37,Jump Shot,2PT Field Goal,PHI,TOR,Toronto Raptors,20121120,Regular Season,train
138,22,0,0,1,9,10,Jump Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
-8,36,0,0,1,8,30,Layup Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
-19,12,1,0,1,6,36,Alley Oop Dunk Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
-2,12,1,0,2,11,25,Dunk Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
170,135,0,0,2,10,46,Jump Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,test
-32,79,1,0,2,9,13,Jump Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
12,23,0,0,3,8,19,Layup Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
-21,31,0,0,3,3,19,Jump Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
9,33,1,0,4,6,15,Layup Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,test
152,47,1,0,4,5,36,Jump Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
40,15,1,0,4,1,52,Jump Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
4,9,0,0,4,0,18,Layup Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
4,3,0,0,4,0,14,Layup Shot,2PT Field Goal,CHA,TOR,Toronto Raptors,20121121,Regular Season,train
69,192,0,0,1,10,31,Jump Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
143,77,0,0,1,7,58,Jump Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
-5,-2,0,0,1,5,15,Layup Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
83,175,0,0,1,1,1,Jump Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
151,63,0,0,2,3,52,Jump Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
1,3,1,0,2,1,6,Driving Reverse Layup Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
-4,-3,1,0,3,11,51,Driving Layup Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
176,63,0,0,3,10,7,Jump Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
-11,56,0,0,3,5,10,Hook Shot,2PT Field Goal,DET,TOR,Toronto Raptors,20121123,Regular Season,train
56,195,1,0,1,9,4,Jump Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
0,7,1,0,1,6,38,Driving Slam Dunk Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
45,138,0,0,1,5,4,Pullup Jump shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
7,3,1,0,1,0,27,Driving Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
-112,112,0,0,1,0,0,Pullup Jump shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
26,101,1,0,2,3,53,Pullup Jump shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
-76,63,0,0,2,2,14,Jump Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
100,63,1,0,3,11,34,Pullup Jump shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
21,25,0,0,3,8,45,Jump Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
-19,20,0,0,3,8,19,Driving Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
13,9,1,0,3,8,3,Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
7,15,0,0,3,7,4,Driving Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
111,102,1,0,3,5,25,Pullup Jump shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
-90,179,0,0,3,3,36,Pullup Jump shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
0,72,1,0,3,2,41,Driving Hook Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
174,-17,0,0,3,1,6,Fadeaway Jump Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
64,26,1,0,3,0,27,Driving Bank shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
-5,50,0,0,4,11,20,Driving Jump shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
132,209,0,1,4,11,7,Jump Shot,3PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
-71,233,0,1,4,6,0,Jump Shot,3PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
-123,154,0,0,4,4,49,Jump Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
-19,23,0,0,4,0,54,Turnaround Jump Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
100,15,0,0,5,1,41,Fadeaway Jump Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
-29,32,0,0,5,0,35,Driving Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
6,-5,1,0,5,0,13,Running Dunk Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
21,22,0,0,5,0,1,Driving Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
-7,25,1,0,5,0,0,Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,train
17,15,0,0,6,0,17,Driving Layup Shot,2PT Field Goal,TOR,SAS,Toronto Raptors,20121125,Regular Season,test
