X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
171,184,1,1,1,8,41,Jump Shot,3PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-11,3,0,0,1,6,54,Driving Layup Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-41,189,0,0,1,6,25,Fadeaway Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
0,127,1,0,1,2,32,Fadeaway Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
-177,187,0,1,1,1,9,Pullup Jump shot,3PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
77,1,1,0,2,11,10,Running Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
195,1,0,0,2,9,34,Fadeaway Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
47,220,1,0,2,1,5,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-10,-2,0,0,2,0,31,Driving Finger Roll Layup Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
149,149,0,0,3,9,4,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
-5,0,0,0,3,8,24,Driving Layup Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-93,209,0,0,3,2,47,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
9,0,1,0,3,2,31,Dunk Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
228,22,0,1,3,1,55,Jump Shot,3PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-15,4,1,0,3,0,0,Driving Layup Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
149,110,1,0,4,10,59,Step Back Jump shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
149,203,0,1,4,4,43,Jump Shot,3PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
225,11,1,1,1,10,34,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-24,89,0,0,1,8,5,Floating Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,test
-2,197,1,0,1,0,34,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
83,89,0,0,1,0,4,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
99,205,0,0,1,0,1,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
31,189,1,0,2,11,47,Pullup Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
230,53,1,1,2,11,13,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
10,257,0,1,2,9,33,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-149,181,0,0,2,1,27,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-152,148,1,0,3,10,34,Pullup Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
13,241,0,1,3,8,0,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
7,11,1,0,3,7,22,Layup Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-8,0,1,0,3,6,15,Driving Layup Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,test
26,93,1,0,3,3,3,Floating Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-26,25,0,0,3,2,37,Driving Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,test
-4,19,0,0,3,0,40,Driving Dunk Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-45,271,0,1,3,0,0,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
48,113,1,0,4,7,25,Floating Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
59,233,0,1,4,6,25,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-130,173,0,0,1,10,33,Jump Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
17,4,1,0,1,8,50,Reverse Layup Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-8,190,1,0,1,7,29,Pullup Jump shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-182,170,0,1,1,1,46,Jump Shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
0,261,0,1,1,0,5,Jump Shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-153,19,1,0,3,9,56,Pullup Jump shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,test
89,230,0,1,3,7,46,Pullup Jump shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-16,6,0,0,3,1,0,Layup Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-16,15,0,0,3,0,33,Layup Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-79,165,1,0,4,11,13,Pullup Jump shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-202,162,1,1,4,5,32,Jump Shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-64,118,0,0,4,4,3,Jump Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-205,148,1,1,5,4,6,Jump Shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
18,3,1,0,5,2,53,Reverse Layup Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
165,181,1,1,5,1,25,Jump Shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20121103,Regular Season,train
-179,170,0,1,1,8,46,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
20,3,1,0,1,0,44,Driving Reverse Layup Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,test
23,460,0,1,1,0,0,Running Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
67,25,0,0,2,11,2,Driving Jump shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
-183,17,0,0,2,9,46,Jump Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
-8,242,1,1,2,6,39,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,test
-60,230,0,1,2,3,3,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
-45,23,0,0,3,9,17,Jump Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
176,170,0,1,3,9,0,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
-109,224,0,1,3,2,24,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,test
-95,222,0,1,4,8,50,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
-112,238,0,1,4,5,36,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,test
94,14,0,0,4,3,8,Jump Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20121105,Regular Season,train
-24,255,0,1,1,7,37,Jump Shot,3PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,test
174,142,1,0,1,7,18,Jump Shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,test
-21,1,0,0,1,1,24,Driving Layup Shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
21,0,0,0,1,0,16,Driving Layup Shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,test
73,91,1,0,2,11,39,Pullup Jump shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
-103,187,1,0,2,10,52,Pullup Jump shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
-190,187,0,1,2,4,13,Jump Shot,3PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
155,9,0,0,2,1,50,Jump Shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
-11,-2,1,0,2,0,33,Driving Layup Shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
7,3,0,0,2,0,26,Driving Layup Shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
-2,249,1,1,3,3,35,Jump Shot,3PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
162,186,1,1,3,1,39,Pullup Jump shot,3PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
152,99,0,0,4,3,49,Step Back Jump shot,2PT Field Goal,POR,LAC,Portland Trail Blazers,20121108,Regular Season,train
141,211,1,1,1,10,16,Pullup Jump shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
10,200,1,0,1,7,13,Pullup Jump shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
26,258,0,1,1,6,50,Pullup Jump shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-40,-2,0,0,2,10,14,Jump Shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,test
0,-3,1,0,2,8,49,Driving Dunk Shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-54,242,1,1,2,7,46,Jump Shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
17,1,0,0,2,7,16,Driving Reverse Layup Shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-43,247,1,1,2,5,53,Jump Shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-52,145,0,0,2,0,34,Pullup Jump shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-60,143,1,0,2,0,4,Pullup Jump shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-7,247,0,1,3,9,1,Jump Shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-112,224,0,1,4,10,32,Pullup Jump shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-199,184,0,1,4,7,24,Jump Shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
20,-6,0,0,4,6,33,Driving Reverse Layup Shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-133,156,1,0,4,5,3,Pullup Jump shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-193,183,1,1,4,2,17,Jump Shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20121110,Regular Season,train
-8,-8,1,0,1,5,18,Driving Layup Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
-123,142,0,0,1,4,38,Jump Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,test
-221,118,0,1,2,8,24,Jump Shot,3PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,test
-18,15,0,0,2,7,27,Driving Layup Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,test
230,105,0,1,2,6,50,Jump Shot,3PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
-147,30,1,0,2,5,45,Jump Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,test
47,241,1,1,2,4,15,Jump Shot,3PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
-2,241,1,1,2,2,0,Jump Shot,3PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
6,257,0,1,2,0,11,Jump Shot,3PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
-15,6,0,0,3,10,46,Driving Layup Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
234,-2,0,1,3,2,46,Jump Shot,3PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
16,11,0,0,3,0,37,Layup Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,test
2,39,1,0,3,0,12,Running Jump Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,test
-46,255,0,1,4,6,32,Jump Shot,3PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
-45,9,0,0,4,5,15,Jump Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
6,-3,0,0,4,3,22,Driving Layup Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
-86,203,0,0,4,1,0,Jump Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,test
-30,19,0,0,4,0,20,Running Jump Shot,2PT Field Goal,POR,ATL,Portland Trail Blazers,20121112,Regular Season,train
-166,197,1,1,1,10,51,Jump Shot,3PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,train
106,186,1,0,1,10,20,Jump Shot,2PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,train
106,236,1,1,1,8,6,Jump Shot,3PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,train
2,268,0,1,1,5,47,Jump Shot,3PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,test
-4,119,0,0,1,0,2,Jump Shot,2PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,train
-157,14,0,0,2,4,12,Jump Shot,2PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,train
26,254,1,1,2,0,33,Jump Shot,3PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,test
28,19,1,0,3,9,44,Running Jump Shot,2PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,train
-16,250,1,1,3,4,0,Jump Shot,3PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,train
83,241,1,1,3,0,31,Jump Shot,3PT Field Goal,SAC,POR,Portland Trail Blazers,20121113,Regular Season,test
-100,145,1,0,1,9,43,Pullup Jump shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
146,167,0,0,1,8,17,Fadeaway Jump Shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
-172,164,0,1,1,3,11,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
-51,198,0,0,1,2,26,Jump Shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
94,230,0,1,1,1,43,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
10,1,0,0,2,4,22,Driving Reverse Layup Shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
20,216,1,0,2,3,58,Pullup Jump shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
-122,222,1,1,2,0,42,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,test
-45,238,0,1,3,10,41,Pullup Jump shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,test
-7,-2,1,0,3,0,28,Driving Finger Roll Layup Shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
165,216,1,1,4,3,3,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,test
10,258,0,1,4,2,25,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
-7,0,1,0,4,0,40,Driving Layup Shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
-90,3,1,0,4,0,17,Pullup Jump shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
152,203,0,1,4,0,0,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
129,220,1,1,5,3,25,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,train
-26,231,1,0,5,2,55,Jump Shot,2PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,test
83,235,0,1,5,2,13,Jump Shot,3PT Field Goal,POR,HOU,Portland Trail Blazers,20121116,Regular Season,test
-123,195,1,0,1,9,28,Jump Shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,test
-11,-13,1,0,1,2,11,Driving Finger Roll Layup Shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-204,167,0,1,1,1,33,Jump Shot,3PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-111,142,1,0,2,3,31,Pullup Jump shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-127,149,1,0,2,2,1,Pullup Jump shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-8,-6,1,0,2,0,0,Driving Layup Shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-49,258,1,1,3,8,29,Pullup Jump shot,3PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,test
10,200,0,0,3,4,13,Pullup Jump shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-116,217,0,1,3,3,7,Jump Shot,3PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
70,261,0,1,4,5,38,Jump Shot,3PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-45,77,0,0,4,3,13,Running Jump Shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
84,53,0,0,4,2,9,Running Jump Shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,train
-4,-3,1,0,4,0,1,Dunk Shot,2PT Field Goal,POR,CHI,Portland Trail Blazers,20121118,Regular Season,test
124,225,0,1,1,8,8,Jump Shot,3PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
-59,104,0,0,1,3,26,Floating Jump shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
9,1,1,0,1,2,31,Layup Shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,test
-51,91,0,0,1,2,0,Floating Jump shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
-131,209,1,1,1,0,21,Jump Shot,3PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,test
-4,6,0,0,2,6,46,Layup Shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
111,148,1,0,2,0,0,Jump Shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,test
-210,89,1,0,3,10,41,Jump Shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
-24,145,1,0,3,7,34,Jump Shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,test
-183,172,1,1,3,5,38,Jump Shot,3PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
-133,89,0,0,3,0,3,Jump Shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
81,247,0,1,4,11,7,Jump Shot,3PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
0,-5,1,0,4,10,10,Layup Shot,2PT Field Goal,PHX,POR,Portland Trail Blazers,20121121,Regular Season,train
20,-3,1,0,1,11,2,Reverse Layup Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
-89,39,1,0,1,9,38,Running Bank shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
-4,254,1,1,1,8,49,Pullup Jump shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,test
-101,189,1,0,1,1,9,Jump Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
-4,257,0,1,1,0,10,Step Back Jump shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
23,74,1,0,2,2,53,Pullup Jump shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,test
2,0,1,0,2,2,23,Driving Layup Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
34,44,0,0,2,1,47,Running Jump Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
10,-2,0,0,2,0,37,Driving Layup Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
26,246,1,1,2,0,5,Pullup Jump shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
-196,145,1,1,3,3,33,Pullup Jump shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,test
56,246,0,1,3,2,49,Jump Shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
92,162,1,0,3,1,9,Pullup Jump shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
-136,201,1,1,3,0,42,Pullup Jump shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,test
12,272,0,1,3,0,31,Pullup Jump shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,test
236,66,0,1,4,4,14,Jump Shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
-2,116,1,0,4,0,32,Running Jump Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20121123,Regular Season,train
-120,217,1,1,1,10,32,Jump Bank Shot,3PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
-48,95,0,0,1,7,25,Driving Jump shot,2PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
12,257,1,1,1,6,15,Jump Shot,3PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
-2,132,0,0,1,4,23,Jump Shot,2PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
154,220,0,1,2,5,52,Jump Shot,3PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,test
-205,132,1,1,2,2,20,Jump Shot,3PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
6,3,0,0,3,9,59,Driving Layup Shot,2PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
-11,-3,1,0,3,9,55,Layup Shot,2PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
-19,0,0,0,3,7,40,Driving Layup Shot,2PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
-90,236,0,1,3,6,29,Jump Shot,3PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
23,4,0,0,4,3,1,Driving Layup Shot,2PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
-89,175,0,0,4,2,18,Jump Shot,2PT Field Goal,BKN,POR,Portland Trail Blazers,20121125,Regular Season,train
-153,127,0,0,1,8,18,Jump Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
0,3,0,0,1,3,52,Layup Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
-70,34,0,0,1,1,56,Jump Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
-105,26,0,0,1,0,1,Jump Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
-73,28,0,0,2,4,20,Jump Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
-90,47,0,0,2,4,7,Running Jump Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
13,107,0,0,2,1,47,Running Jump Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
-134,108,0,0,2,0,33,Jump Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
10,254,0,1,2,0,2,Jump Shot,3PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
-8,-2,0,0,3,8,58,Layup Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
40,266,0,1,3,8,37,Jump Shot,3PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,test
-2,0,0,0,3,6,3,Layup Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
1,4,1,0,3,2,57,Driving Layup Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
2,266,1,1,3,2,23,Jump Shot,3PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,test
6,4,1,0,4,5,32,Driving Layup Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
200,189,0,1,4,3,36,Jump Shot,3PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,test
-7,-10,1,0,4,1,57,Driving Layup Shot,2PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,train
-117,247,0,1,4,1,26,Jump Shot,3PT Field Goal,DET,POR,Portland Trail Blazers,20121126,Regular Season,test
154,189,1,1,1,9,16,Jump Shot,3PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
6,-6,1,0,1,8,3,Driving Layup Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
9,1,0,0,1,6,11,Layup Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
-213,135,0,1,1,5,31,Jump Shot,3PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,test
-191,-6,0,0,1,3,16,Jump Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
6,0,1,0,1,0,23,Driving Layup Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
-133,96,0,0,2,4,48,Jump Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
174,175,0,1,2,4,28,Jump Shot,3PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
-11,52,0,0,2,0,0,Jump Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
0,-21,0,0,3,11,13,Layup Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
-11,261,1,1,3,9,30,Jump Shot,3PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,train
1,254,0,1,3,5,56,Jump Shot,3PT Field Goal,WAS,POR,Portland Trail Blazers,20121128,Regular Season,test
